Cluster ID,Firing Rate (Hz),True Count,Mean Permuted,Normalized True,Normalized Mean,Z-Score,p-value (two-tailed)
16.0,67.92650547033625,586,310.796,8.62697110564459,4.575474593429891,7.005705095781289,0.002997002997002997
60.0,38.847603807235025,601,151.605,15.470709673168285,3.90255730449364,8.007478752350035,0.004995004995004995
63.0,44.17809239960249,277,147.165,6.270076070611243,3.3311759744819622,6.579943420774133,0.001998001998001998
67.0,53.65727390324457,732,247.884,13.642139205952786,4.6197650750387975,7.863830642534765,0.006993006993006993
85.0,35.25065451655462,792,251.56,22.46766793019563,7.136321394595976,8.00550306711224,0.006993006993006993
196.0,30.14681922560067,253,93.412,8.392261820615307,3.0985690165506603,7.703873145819791,0.000999000999000999
199.0,0.20569752172078054,12,3.233,58.33808739946381,15.717253046872207,2.628358086573308,0.028971028971028972
222.0,1.9033914107755336,108,17.89,56.74082555410691,9.399012677434932,7.586990391845028,0.008991008991008992
228.0,9.790760859599834,13,17.684,1.3277824049040592,1.8061926191017987,-1.0166434880143267,0.3356643356643357
86.0,1.0033958197612873,36,6.571,35.87816422093982,6.5487615859943205,6.216709953405957,0.004995004995004995
138.0,3.7028311249173753,41,27.341,11.072608665326284,7.38380959801673,1.6544409019512665,0.08291708291708291
170.0,12.186613093154607,43,41.099,3.5284619008831672,3.3724710619627274,0.2760509679481882,0.8531468531468531
190.0,1.707620311014469,69,14.506,40.40710897787825,8.4948626497551,5.6328172954049744,0.006993006993006993
212.0,13.304162765452629,38,44.348,2.8562488801381694,3.3333927720096717,-0.754433858365768,0.4855144855144855
226.0,1.2096448093687189,58,11.324,47.947959228022185,9.361425694795228,7.558614202754417,0.004995004995004995
233.0,29.92761074065694,93,99.822,3.107498316718569,3.3354483545320535,-0.505332510430012,0.6283716283716284
237.0,1.0568882047664234,44,9.11,41.63165016088355,8.61964393103748,6.478584900569844,0.003996003996003996
7.0,0.9237087101402344,53,8.705,57.37739551243781,9.42396656482587,7.005935111364275,0.006993006993006993
66.0,23.076173716906332,33,56.949,1.4300464368502808,2.467870137338989,-2.757940828781453,0.00999000999000999
94.0,48.786985262287274,118,96.537,2.4186778372471998,1.978744935375703,1.326453212535064,0.1918081918081918
98.0,4.959626438594745,44,31.847,8.871635907414614,6.421249744168938,1.6861034386016671,0.09290709290709291
120.0,0.23189224633669764,4,2.009,17.24939088386841,8.663506571422909,0.9618011434787961,0.5044955044955045
195.0,1.0855645348722693,37,8.061,34.08364847176361,7.425629468402337,6.772707644648426,0.002997002997002997
103.0,1.6138707702838184,28,8.152,17.34959236858591,5.051209892454011,4.296522059077335,0.008991008991008992
116.0,0.7739851789145187,6,5.777,7.752086426790168,7.463967214594467,0.05818673982326643,1.0
140.0,20.153945385543285,15,47.192,0.7442711445849067,2.341576257016728,-2.3642447527606314,0.028971028971028972
172.0,16.228872702305605,19,30.29,1.1707529135588517,1.8664266185104008,-1.5101762839233697,0.15584415584415584
173.0,14.498366473995123,28,38.415,1.93125205175507,2.649608841720393,-1.0910220821286725,0.33966033966033965
216.0,2.553296315193603,55,12.931,21.540782271418287,5.0644337373038155,6.8038903017922925,0.003996003996003996
236.0,2.8312361300656494,64,17.866,22.604967251006364,6.310317889163745,5.109512604783661,0.008991008991008992
224.0,0.9661717374123525,44,5.444,45.54055795281583,5.6346090339802135,7.45084836618952,0.000999000999000999
227.0,0.5798684828134067,32,7.735,55.184927183388815,13.339231617609766,4.501100241824239,0.007992007992007992
220.0,2.8960336067471286,18,9.548,6.215397486432448,3.2969230666920564,1.626808121353219,0.10589410589410589
78.0,0.3162668329942832,37,5.771,116.98982043010753,18.24725010005812,6.105667483912332,0.007992007992007992
110.0,1.0657116909528375,26,10.24,24.39684224234584,9.608602483139284,3.5376668160020563,0.00999000999000999
191.0,2.5521933794203013,62,18.885,24.292830041774703,7.399517666756698,5.520999097716466,0.003996003996003996
200.0,0.8771096737182345,12,5.309,13.681299339830241,6.052834849596563,1.8833211843905056,0.059940059940059943
223.0,6.691511336621852,26,28.0,3.885519831327949,4.18440597219933,-0.3002705909684041,0.8371628371628371
230.0,0.42463027272118237,10,2.672,23.549898917748916,6.292532990822511,3.225477672507581,0.015984015984015984
65.0,29.9336768874101,19,48.585,0.6347365902112503,1.623088275548084,-3.2380985137546534,0.014985014985014986
72.0,1.0885976082488493,26,5.316,23.88394003714961,4.883347124518743,5.020280790225931,0.01098901098901099
235.0,0.7364853626222585,17,4.577,23.082604030949707,6.21465168527393,3.5982256561393187,0.011988011988011988
215.0,0.18060573287816523,10,1.703,55.36922798982188,9.429379526666667,4.6179880625987195,0.008991008991008992
189.0,0.8528450867055954,4,5.583,4.690183554262313,6.5463236958616235,-0.5543214574655978,0.6433566433566433
79.0,0.3967811444453126,2,2.746,5.040562103312485,6.920691767848043,-0.390949622527753,0.8201798201798202
87.0,0.22086288860367992,4,0.955,18.110783687057843,4.32394960528506,2.2986976508496335,0.06793206793206794
111.0,1.3138722399457363,13,2.514,9.894417131864287,1.9134280515005244,3.6650009956836462,0.011988011988011988
112.0,1.1823471489794999,13,2.368,10.995078739116916,2.0027958810945274,3.8454592704132,0.011988011988011988
154.0,0.2624987140458218,3,3.075,11.428627415966387,11.714343101365547,-0.03599401664158555,1.0
193.0,0.5431958683511229,11,2.126,20.250522216582063,3.9138736574957695,3.786772141243126,0.003996003996003996
202.0,0.2597413746125674,1,1.72,3.8499834748761494,6.621971576786978,-0.44294103235790766,0.7982017982017982
217.0,0.1196685314032423,1,2.118,8.35641574500768,17.698888547926266,-0.5001309822165984,0.6993006993006993
